,game_number, player_won, player_just_moved, cell0, cell1, cell2, cell3, cell4, cell5, cell6, cell7, cell8, best_move
55,10,1,2,0,0,0,0,0,0,0,0,0,5
56,10,1,1,0,0,0,0,0,1,0,0,0,4
57,10,1,2,0,0,0,0,2,1,0,0,0,8
58,10,1,1,0,0,0,0,2,1,0,0,1,1
59,10,1,2,0,2,0,0,2,1,0,0,1,7
60,10,1,1,0,2,0,0,2,1,0,1,1,2
61,10,1,2,0,2,2,0,2,1,0,1,1,6
62,11,1,2,0,0,0,0,0,0,0,0,0,4
63,11,1,1,0,0,0,0,1,0,0,0,0,6
64,11,1,2,0,0,0,0,1,0,2,0,0,0
65,11,1,1,1,0,0,0,1,0,2,0,0,1
66,11,1,2,1,2,0,0,1,0,2,0,0,8
67,13,1,2,0,0,0,0,0,0,0,0,0,4
68,13,1,1,0,0,0,0,1,0,0,0,0,6
69,13,1,2,0,0,0,0,1,0,2,0,0,0
70,13,1,1,1,0,0,0,1,0,2,0,0,8
71,13,1,2,1,0,0,0,1,0,2,0,2,1
72,13,1,1,1,1,0,0,1,0,2,0,2,5
73,13,1,2,1,1,0,0,1,2,2,0,2,2
74,14,1,2,0,0,0,0,0,0,0,0,0,4
75,14,1,1,0,0,0,0,1,0,0,0,0,6
76,14,1,2,0,0,0,0,1,0,2,0,0,3
77,14,1,1,0,0,0,1,1,0,2,0,0,0
78,14,1,2,2,0,0,1,1,0,2,0,0,5
79,15,1,2,0,0,0,0,0,0,0,0,0,4
80,15,1,1,0,0,0,0,1,0,0,0,0,2
81,15,1,2,0,0,2,0,1,0,0,0,0,0
82,15,1,1,1,0,2,0,1,0,0,0,0,8
83,15,1,2,1,0,2,0,1,0,0,0,2,3
84,15,1,1,1,0,2,1,1,0,0,0,2,1
85,15,1,2,1,2,2,1,1,0,0,0,2,5
86,16,1,2,0,0,0,0,0,0,0,0,0,4
87,16,1,1,0,0,0,0,1,0,0,0,0,6
88,16,1,2,0,0,0,0,1,0,2,0,0,3
89,16,1,1,0,0,0,1,1,0,2,0,0,0
90,16,1,2,2,0,0,1,1,0,2,0,0,1
91,16,1,1,2,1,0,1,1,0,2,0,0,5
92,16,1,2,2,1,0,1,1,2,2,0,0,7
93,18,1,2,0,0,0,0,0,0,0,0,0,4
94,18,1,1,0,0,0,0,1,0,0,0,0,6
95,18,1,2,0,0,0,0,1,0,2,0,0,3
96,18,1,1,0,0,0,1,1,0,2,0,0,0
97,18,1,2,2,0,0,1,1,0,2,0,0,5
0,18,2,2,0,0,0,0,0,0,0,0,0,0
1,18,2,1,1,0,0,0,0,0,0,0,0,4
2,18,2,2,1,0,0,0,2,0,0,0,0,6
3,18,2,1,1,0,0,0,2,0,1,0,0,3
4,18,2,2,1,0,0,2,2,0,1,0,0,2
5,18,2,1,1,0,1,2,2,0,1,0,0,1
6,18,2,2,1,2,1,2,2,0,1,0,0,5
7,18,2,1,1,2,1,2,2,1,1,0,0,7
0,11,2,2,0,0,0,0,0,0,0,0,0,0
1,11,2,1,1,0,0,0,0,0,0,0,0,4
2,11,2,2,1,0,0,0,2,0,0,0,0,6
3,11,2,1,1,0,0,0,2,0,1,0,0,3
4,11,2,2,1,0,0,2,2,0,1,0,0,7
5,11,2,1,1,0,0,2,2,0,1,1,0,5
0,0,1,2,0,0,0,0,0,0,0,0,0,4
1,0,1,1,0,0,0,0,1,0,0,0,0,0
2,0,1,2,2,0,0,0,1,0,0,0,0,3
3,0,1,1,2,0,0,1,1,0,0,0,0,2
4,0,1,2,2,0,2,1,1,0,0,0,0,1
5,0,1,1,2,1,2,1,1,0,0,0,0,5
6,0,1,2,2,1,2,1,1,2,0,0,0,7
0,9,2,2,0,0,0,0,0,0,0,0,0,1
1,9,2,1,0,1,0,0,0,0,0,0,0,0
2,9,2,2,2,1,0,0,0,0,0,0,0,5
3,9,2,1,2,1,0,0,0,1,0,0,0,6
4,9,2,2,2,1,0,0,0,1,2,0,0,3
5,9,2,1,2,1,0,1,0,1,2,0,0,4
6,9,2,2,2,1,0,1,2,1,2,0,0,2
7,9,2,1,2,1,1,1,2,1,2,0,0,8
0,9,1,2,0,0,0,0,0,0,0,0,0,6
1,9,1,1,0,0,0,0,0,0,1,0,0,4
2,9,1,2,0,0,0,0,2,0,1,0,0,0
3,9,1,1,1,0,0,0,2,0,1,0,0,3
4,9,1,2,1,0,0,2,2,0,1,0,0,8
5,9,1,1,1,0,0,2,2,0,1,0,1,1
6,9,1,2,1,2,0,2,2,0,1,0,1,7
7,19,1,2,0,0,0,0,0,0,0,0,0,1
8,19,1,1,0,1,0,0,0,0,0,0,0,0
9,19,1,2,2,1,0,0,0,0,0,0,0,4
10,19,1,1,2,1,0,0,1,0,0,0,0,3
11,19,1,2,2,1,0,2,1,0,0,0,0,6
12,19,1,1,2,1,0,2,1,0,1,0,0,7
13,19,1,2,2,1,0,2,1,0,1,2,0,2
0,9,2,2,0,0,0,0,0,0,0,0,0,0
1,9,2,1,1,0,0,0,0,0,0,0,0,4
2,9,2,2,1,0,0,0,2,0,0,0,0,8
3,9,2,1,1,0,0,0,2,0,0,0,1,3
4,9,2,2,1,0,0,2,2,0,0,0,1,2
5,9,2,1,1,0,1,2,2,0,0,0,1,1
6,9,2,2,1,2,1,2,2,0,0,0,1,7
7,9,2,1,1,2,1,2,2,0,0,1,1,5
0,7,1,2,0,0,0,0,0,0,0,0,0,4
1,7,1,1,0,0,0,0,1,0,0,0,0,0
2,7,1,2,2,0,0,0,1,0,0,0,0,3
3,7,1,1,2,0,0,1,1,0,0,0,0,2
4,7,1,2,2,0,2,1,1,0,0,0,0,1
5,7,1,1,2,1,2,1,1,0,0,0,0,7
6,7,1,2,2,1,2,1,1,0,0,2,0,5
7,14,1,2,0,0,0,0,0,0,0,0,0,7
8,14,1,1,0,0,0,0,0,0,0,1,0,0
9,14,1,2,2,0,0,0,0,0,0,1,0,2
10,14,1,1,2,0,1,0,0,0,0,1,0,4
11,14,1,2,2,0,1,0,2,0,0,1,0,8
12,14,1,1,2,0,1,0,2,0,0,1,1,3
13,14,1,2,2,0,1,2,2,0,0,1,1,6
0,12,1,2,0,0,0,0,0,0,0,0,0,0
1,12,1,1,1,0,0,0,0,0,0,0,0,1
2,12,1,2,1,2,0,0,0,0,0,0,0,4
3,12,1,1,1,2,0,0,1,0,0,0,0,8
4,12,1,2,1,2,0,0,1,0,0,0,2,3
5,12,1,1,1,2,0,1,1,0,0,0,2,5
6,12,1,2,1,2,0,1,1,2,0,0,2,6
0,1,2,2,0,0,0,0,0,0,0,0,0,7
1,1,2,1,0,0,0,0,0,0,0,1,0,4
